Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
Colonized;Otu000008;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;-0.477273393;0.166471965;129;-2.866989611;0.004841501;0.029496349;1.530231738;Decreased
Colonized;Otu000011;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;-0.463391781;0.142917051;129;-3.242382752;0.001508867;0.016128112;1.792416471;Decreased
Colonized;Otu000015;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-0.582210258;0.19686412;129;-2.957421888;0.00369073;0.025933833;1.586133282;Decreased
Colonized;Otu000019;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;-0.803074716;0.27060966;129;-2.967649845;0.003577796;0.025933833;1.586133282;Decreased
Colonized;Otu000020;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;-0.913598576;0.249843948;129;-3.656676833;0.000370789;0.006369622;2.195886364;Decreased
Colonized;Otu000021;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;-0.768771992;0.224443661;129;-3.4252337;0.000824219;0.010165372;1.992876734;Decreased
Colonized;Otu000033;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;-0.601695341;0.210863045;129;-2.853488814;0.005039066;0.029923343;1.523989889;Decreased
Colonized;Otu000040;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;-1.052652364;0.346747335;129;-3.035790783;0.002902976;0.023666638;1.625863428;Decreased
Colonized;Otu000047;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;-0.546492181;0.179005504;129;-3.052935074;0.002752784;0.0228843;1.640462374;Decreased
Colonized;Otu000048;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;-1.338844275;0.322277152;129;-4.154325763;5.90E-05;0.001668383;2.777704165;Decreased
Colonized;Otu000050;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;-1.056976648;0.266292724;129;-3.969228416;0.000119058;0.002603035;2.584519965;Decreased
Colonized;Otu000061;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-0.817107937;0.295338369;129;-2.766683989;0.006495562;0.035962206;1.444153671;Decreased
Colonized;Otu000069;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-1.067368178;0.336655314;129;-3.170507439;0.001901278;0.018290294;1.737779324;Decreased
Colonized;Otu000074;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;-0.691677724;0.225952077;129;-3.061170018;0.002683224;0.0228843;1.640462374;Decreased
Colonized;Otu000080;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-0.948154129;0.320102211;129;-2.962035553;0.003639387;0.025933833;1.586133282;Decreased
Colonized;Otu000094;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-0.904369366;0.28349377;129;-3.190085503;0.001785908;0.017896286;1.74723708;Decreased
Colonized;Otu000096;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;-0.809078058;0.269880967;129;-2.997907072;0.003262063;0.025024858;1.601628374;Decreased
Colonized;Otu000101;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-0.75237349;0.246505464;129;-3.052157455;0.002759437;0.0228843;1.640462374;Decreased
Colonized;Otu000103;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;-1.189372847;0.240534679;129;-4.944704232;2.33E-06;0.000124359;3.905322884;Decreased
Colonized;Otu000116;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;-0.789516144;0.284170709;129;-2.778316407;0.006280335;0.035539308;1.449291034;Decreased
Colonized;Otu000130;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-0.864126611;0.291966855;129;-2.95967366;0.003665588;0.025933833;1.586133282;Decreased
Colonized;Otu000132;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-0.829628242;0.299915863;129;-2.766203277;0.006504599;0.035962206;1.444153671;Decreased
Colonized;Otu000133;unclassified;unclassified;unclassified;unclassified;unclassified;-3.918032471;0.471189965;129;-8.315186574;1.11E-13;5.35E-11;10.27141418;Decreased
Colonized;Otu000154;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-1.517119932;0.4565795;129;-3.322794679;0.001159926;0.013306797;1.875926473;Decreased
Colonized;Otu000155;Tenericutes;Mollicutes;RF9;unclassified;unclassified;-0.899005096;0.286086254;129;-3.142426752;0.002078879;0.019229631;1.716029047;Decreased
Colonized;Otu000157;Cyanobacteria;Melainabacteria;Gastranaerophilales;unclassified;unclassified;-0.972292849;0.333932778;129;-2.911642441;0.004237503;0.027822717;1.55560046;Decreased
Colonized;Otu000158;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma;-1.08155316;0.31506832;129;-3.43275757;0.000803559;0.010165372;1.992876734;Decreased
Colonized;Otu000175;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;-1.012545435;0.295562624;129;-3.425823672;0.000822581;0.010165372;1.992876734;Decreased
Colonized;Otu000182;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassospira;-1.488470089;0.340795517;129;-4.367634009;2.56E-05;0.000877899;3.056555326;Decreased
Colonized;Otu000198;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;-0.923190865;0.304807887;129;-3.028763047;0.002966702;0.023783057;1.623732316;Decreased
