Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
Non Colonized;Otu000005;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister;-0.810858161;0.29709248;125;-2.729312307;0.007262448;0.046206847;1.335293664;Decreased
Before;Otu000024;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;-1.951878367;0.552847229;125;-3.530592654;0.000581286;0.007281214;2.137796216;Decreased
M6;Otu000024;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;-1.604141116;0.475722878;125;-3.372007505;0.000993561;0.010869623;1.963785533;Decreased
M12;Otu000025;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;-1.151433552;0.336787018;125;-3.418877483;0.000849522;0.009822598;2.007773625;Decreased
Before;Otu000028;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;-6.18025305;1.178114593;125;-5.245884471;6.44E-07;3.30E-05;4.481806307;Decreased
M12;Otu000028;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;-10.45034412;1.518013526;125;-6.88422332;2.51E-10;2.79E-08;7.554001209;Decreased
M3;Otu000028;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;-4.972005111;1.111832181;125;-4.471902503;1.72E-05;0.000511362;3.291271435;Decreased
M6;Otu000028;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;-7.298120435;1.229489526;125;-5.935894758;2.69E-08;2.02E-06;5.694354659;Decreased
Non Colonized;Otu000029;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;-1.241808069;0.319555986;125;-3.886042269;0.000164357;0.002864342;2.542975079;Decreased
M12;Otu000035;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;-1.782830121;0.565022019;125;-3.155328574;0.0020088;0.018544928;1.731774857;Decreased
Before;Otu000036;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;-1.693522407;0.428883194;125;-3.948679802;0.000130432;0.00235067;2.628808419;Decreased
M6;Otu000036;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;-1.194102725;0.406474797;125;-2.937704217;0.003938178;0.029690655;1.527380219;Decreased
M3;Otu000040;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;-2.01354295;0.516608584;125;-3.897618065;0.000157513;0.002785431;2.555107533;Decreased
Non Colonized;Otu000043;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;-0.72989459;0.217104364;125;-3.361952636;0.001027307;0.01100768;1.958304213;Decreased
Before;Otu000045;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;unclassified;-3.51773962;0.830671668;125;-4.234813533;4.40E-05;0.000988106;3.005196506;Decreased
Before;Otu000049;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;-0.728539189;0.1264822;125;-5.760013583;6.17E-08;4.12E-06;5.385191313;Decreased
M12;Otu000049;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;-1.701381228;0.172768541;125;-9.847749026;2.76E-17;8.29E-15;14.08135798;Decreased
M3;Otu000049;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;-2.35380464;0.175492449;125;-13.41256935;5.78E-26;2.32E-23;22.63489771;Decreased
M6;Otu000049;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;-0.845405553;0.09141299;125;-9.248199301;7.82E-16;2.09E-13;12.67992002;Decreased
M6;Otu000051;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;-1.045763359;0.342657698;125;-3.051918477;0.002777932;0.022958506;1.639056368;Decreased
Non Colonized;Otu000056;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;-1.463526423;0.489872828;125;-2.987563992;0.003385601;0.02635071;1.579207675;Decreased
M6;Otu000060;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Odoribacter;-0.698791707;0.252145528;125;-2.771382513;0.006435133;0.041763117;1.379207098;Decreased
Non Colonized;Otu000072;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-1.37102803;0.354403391;125;-3.868552238;0.000175238;0.003010338;2.521384737;Decreased
M6;Otu000076;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Sutterella;-1.047053203;0.347558939;125;-3.012591783;0.003136022;0.024891524;1.603948504;Decreased
M3;Otu000081;Bacteroidetes;Bacteroidia;Bacteroidales;unclassified;unclassified;-1.380396842;0.470920211;125;-2.931275429;0.004015168;0.030082486;1.521686275;Decreased
Before;Otu000083;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;-1.025971549;0.3541139;125;-2.897292507;0.004445603;0.032148166;1.492843795;Decreased
M12;Otu000083;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;-1.374263421;0.412395139;125;-3.332394807;0.001132828;0.011794164;1.928332835;Decreased
M3;Otu000083;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;-1.456177189;0.347813829;125;-4.186656968;5.30E-05;0.001168942;2.932206919;Decreased
M6;Otu000083;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;-1.620007559;0.362299798;125;-4.471455878;1.72E-05;0.000511362;3.291271435;Decreased
Non Colonized;Otu000088;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-3.686648163;0.512452549;125;-7.194125922;5.10E-11;7.21E-09;8.141838495;Decreased
M12;Otu000100;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;-0.972079915;0.338662172;125;-2.870352808;0.004816463;0.033916658;1.469586951;Decreased
