Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
Travel;Otu000006;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;-1.364286936;0.322014899;128;-4.236719922;4.30E-05;0.001548953;2.809961713;Decreased
Travel;Otu000080;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-1.83548243;0.400211109;128;-4.586285565;1.06E-05;0.000693875;3.158718968;Decreased
Colonized;Otu000096;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;-1.962682502;0.442568056;128;-4.434758623;1.96E-05;0.001020477;2.991196744;Decreased
Travel;Otu000109;Firmicutes;unclassified;unclassified;unclassified;unclassified;-0.711263925;0.224315123;128;-3.170824663;0.001902506;0.025683833;1.590340164;Decreased
Travel;Otu000111;unclassified;unclassified;unclassified;unclassified;unclassified;-1.315012971;0.433376539;128;-3.034342778;0.002920153;0.034938413;1.456696822;Decreased
Colonized;Otu000116;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;-1.150073351;0.346473401;128;-3.319369824;0.001175386;0.017712798;1.751712819;Decreased
Travel;Otu000117;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;-1.772331495;0.515362847;128;-3.438997411;0.000788529;0.014084074;1.851271714;Decreased
Colonized;Otu000150;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;-1.547085259;0.363797806;128;-4.252596458;4.04E-05;0.001541432;2.812075489;Decreased
Colonized;Otu000158;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma;-1.221620273;0.405390841;128;-3.013438268;0.003114485;0.036039043;1.443226748;Decreased
Travel;Otu000170;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;-1.429554183;0.422192456;128;-3.386024931;0.000942156;0.015262922;1.81636231;Decreased
Travel;Otu000175;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;-1.1540274;0.377674124;128;-3.055616803;0.002733932;0.034533857;1.461754914;Decreased
Colonized;Otu000203;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassospira;-2.200603251;0.438300983;128;-5.020758191;1.69E-06;0.000470447;3.327489171;Decreased
Travel;Otu000211;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;-1.310665244;0.38176467;128;-3.433175846;0.000804183;0.014084074;1.851271714;Decreased
Travel;Otu000221;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;-1.107184567;0.334349691;128;-3.311456826;0.001206407;0.017767084;1.750383846;Decreased
Colonized;Otu000224;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-2.082490644;0.435906427;128;-4.777379996;4.79E-06;0.00051681;3.286669396;Decreased
Colonized;Otu000227;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;-1.294340525;0.410401779;128;-3.153837513;0.002008195;0.026557348;1.575815299;Decreased
Colonized;Otu000231;Firmicutes;unclassified;unclassified;unclassified;unclassified;-2.117629538;0.593168393;128;-3.570030978;0.000503458;0.010195034;1.991611318;Decreased
Travel;Otu000236;unclassified;unclassified;unclassified;unclassified;unclassified;-1.261060817;0.385989416;128;-3.267086518;0.001394995;0.020087934;1.697064727;Decreased
Travel;Otu000245;Cyanobacteria;Melainabacteria;Gastranaerophilales;unclassified;unclassified;-2.179299617;0.480491543;128;-4.535562905;1.31E-05;0.000768831;3.114169014;Decreased
Colonized;Otu000279;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;-2.285170458;0.468055974;128;-4.882258932;3.07E-06;0.000470447;3.327489171;Decreased
Colonized;Otu000283;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;-1.326622364;0.32340641;128;-4.102028669;7.24E-05;0.001953921;2.709093088;Decreased
Colonized;Otu000292;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;-2.176227071;0.470707676;128;-4.623309078;9.10E-06;0.000693875;3.158718968;Decreased
Travel;Otu000294;unclassified;unclassified;unclassified;unclassified;unclassified;-1.490912295;0.468732037;128;-3.180734784;0.00184326;0.025480321;1.593795114;Decreased
Colonized;Otu000300;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;-1.897674052;0.407534597;128;-4.656473497;7.94E-06;0.000693875;3.158718968;Decreased
Colonized;Otu000312;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;-1.93379306;0.48264335;128;-4.006670893;0.000103854;0.002588362;2.586974966;Decreased
Travel;Otu000321;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-1.157884483;0.32764644;128;-3.533944952;0.000570346;0.011199513;1.95080085;Decreased
Colonized;Otu000349;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-0.847524144;0.288972195;128;-2.932891669;0.003980099;0.044467311;1.35195913;Decreased
Travel;Otu000357;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;-1.395131122;0.319272736;128;-4.369715811;2.55E-05;0.001169928;2.931840766;Decreased
Colonized;Otu000368;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;-2.749316221;0.434371461;128;-6.329412648;3.80E-09;2.46E-06;5.608185623;Decreased
Colonized;Otu000397;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Sporobacter;-1.41257919;0.380720853;128;-3.710275333;0.000307446;0.006640837;2.177777211;Decreased
Colonized;Otu000439;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-1.117817806;0.358933852;128;-3.114272446;0.00227584;0.02949489;1.530253226;Decreased
Colonized;Otu000467;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;-2.085862819;0.539769296;128;-3.864359893;0.000176136;0.004076294;2.389734533;Decreased
Travel;Otu000475;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;-0.97504918;0.287803949;128;-3.387893684;0.000936289;0.015262922;1.81636231;Decreased
Travel;Otu000476;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;-2.579755155;0.637107229;128;-4.049169492;8.85E-05;0.002293241;2.639550231;Decreased
Colonized;Otu000491;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;-2.05594792;0.488267905;128;-4.210696422;4.76E-05;0.001623923;2.789434635;Decreased
Travel;Otu000574;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Incertae_Sedis;-2.715043145;0.558881596;128;-4.857993473;3.40E-06;0.000470447;3.327489171;Decreased
Travel;Otu000024;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;1.23598337;0.42040898;128;2.939954731;0.003896166;0.044293252;1.353662437;Increased
Colonized;Otu000029;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;1.316098076;0.297467861;128;4.424337039;2.05E-05;0.001020477;2.991196744;Increased
