Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
M3;Otu000007;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;-1.000085482;0.37150223;126;-2.692003977;0.008067766;0.048981859;1.30996474;Decreased
M6;Otu000007;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;-1.116162015;0.37503196;126;-2.97617839;0.003500215;0.028535651;1.544612211;Decreased
M12;Otu000025;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;-0.776317895;0.289142001;126;-2.684901855;0.008231535;0.049337924;1.306819129;Decreased
M12;Otu000028;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;-6.746354603;1.557225913;126;-4.332290226;2.99E-05;0.000820459;3.085943375;Decreased
M6;Otu000028;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;-3.794542232;1.242283373;126;-3.054490075;0.002751693;0.023759418;1.624164204;Decreased
Before;Otu000029;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;-1.029509519;0.310066979;126;-3.32028106;0.001176538;0.0136365;1.865297088;Decreased
M12;Otu000029;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;-1.302623083;0.429709596;126;-3.031403288;0.002955342;0.02493894;1.603122007;Decreased
Before;Otu000031;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;-0.957482228;0.250575813;126;-3.821127885;0.000207605;0.003566352;2.447775769;Decreased
M12;Otu000035;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;-1.527446154;0.461682667;126;-3.308432965;0.001223263;0.013841121;1.858828749;Decreased
Before;Otu000036;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;-1.201948357;0.404870351;126;-2.96872407;0.003580468;0.028797971;1.540638116;Decreased
Before;Otu000045;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;unclassified;-4.548641085;0.714370846;126;-6.367338632;3.27E-09;4.84E-07;6.314837034;Decreased
M12;Otu000045;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;unclassified;-1.929599275;0.59472827;126;-3.244505723;0.001506734;0.015257668;1.816511828;Decreased
