Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
Travel;Otu000006;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;-1.260621285;0.254743765;129;-4.948585441;2.29E-06;0.000137581;3.861442205;Decreased
Travel;Otu000020;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;-0.711891556;0.242723245;129;-2.932935224;0.00397455;0.02796757;1.553345273;Decreased
Travel;Otu000021;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;-0.665043906;0.223795272;129;-2.971661994;0.00353437;0.027419873;1.561934554;Decreased
Travel;Otu000048;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;-0.847918771;0.298594813;129;-2.839696922;0.00524848;0.03224568;1.491528454;Decreased
Travel;Otu000050;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;-0.862796714;0.267171913;129;-3.229369074;0.001573794;0.01610627;1.793005015;Decreased
Travel;Otu000057;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;-0.899062664;0.316247355;129;-2.84290967;0.005198999;0.03224568;1.491528454;Decreased
Travel;Otu000065;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;-0.677396907;0.249464152;129;-2.715407815;0.00752654;0.042591361;1.370678484;Decreased
Travel;Otu000080;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-2.083572251;0.321411765;129;-6.482563737;1.75E-09;3.21E-07;6.493814816;Decreased
Travel;Otu000088;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-0.979847949;0.290488402;129;-3.373105232;0.000981644;0.012425547;1.905684486;Decreased
Travel;Otu000093;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;-0.530974775;0.179455406;129;-2.958811813;0.003675192;0.027621368;1.558754823;Decreased
Travel;Otu000094;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-0.848969733;0.267512152;129;-3.173574459;0.001882758;0.017415516;1.759063663;Decreased
Travel;Otu000103;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;-1.068282079;0.252631947;129;-4.228610406;4.42E-05;0.000886004;3.0525644;Decreased
Travel;Otu000104;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;-1.500777137;0.3146627;129;-4.769478998;4.91E-06;0.000227652;3.642728812;Decreased
Travel;Otu000109;Firmicutes;unclassified;unclassified;unclassified;unclassified;-0.532147513;0.180706412;129;-2.944818098;0.003834403;0.027944666;1.553701075;Decreased
Travel;Otu000111;unclassified;unclassified;unclassified;unclassified;unclassified;-0.861126568;0.290537367;129;-2.963909867;0.003618718;0.027621368;1.558754823;Decreased
Travel;Otu000117;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;-1.14459195;0.358876031;129;-3.189379763;0.001789951;0.017372414;1.760139827;Decreased
Travel;Otu000130;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-0.982173895;0.349247097;129;-2.812260729;0.005688888;0.03420444;1.465917516;Decreased
Travel;Otu000133;unclassified;unclassified;unclassified;unclassified;unclassified;-4.575350978;0.708782944;129;-6.455221608;2.00E-09;3.21E-07;6.493814816;Decreased
Travel;Otu000157;Cyanobacteria;Melainabacteria;Gastranaerophilales;unclassified;unclassified;-1.044722155;0.283242467;129;-3.688437569;0.000331344;0.00514118;2.288937169;Decreased
Travel;Otu000169;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;-1.206730357;0.356927193;129;-3.380886585;0.000956478;0.012425547;1.905684486;Decreased
Travel;Otu000170;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;-1.429942855;0.343452246;129;-4.163440103;5.69E-05;0.001095307;2.96046396;Decreased
Travel;Otu000175;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;-1.350237842;0.294714109;129;-4.581517482;1.07E-05;0.000304124;3.516948729;Decreased
Travel;Otu000178;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;-0.981366586;0.262940126;129;-3.732281563;0.000283377;0.004700144;2.32788881;Decreased
Travel;Otu000184;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;-0.710313205;0.254963671;129;-2.785938884;0.006142845;0.036477882;1.437970387;Decreased
Travel;Otu000205;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;-0.650071104;0.240710076;129;-2.700639356;0.007849867;0.043379625;1.362714204;Decreased
Travel;Otu000208;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-0.752722106;0.265357592;129;-2.83663301;0.005296068;0.03224568;1.491528454;Decreased
Travel;Otu000211;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;-1.073572674;0.323857426;129;-3.314954627;0.001190295;0.014653229;1.834066649;Decreased
Travel;Otu000216;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Incertae_Sedis;-1.011875084;0.310123369;129;-3.262814685;0.001411946;0.014764048;1.830794563;Decreased
Travel;Otu000221;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;-1.293604504;0.277968492;129;-4.653781064;7.97E-06;0.000273966;3.562303026;Decreased
Travel;Otu000228;Proteobacteria;Alphaproteobacteria;unclassified;unclassified;unclassified;-1.404026802;0.296517904;129;-4.735048991;5.68E-06;0.000227652;3.642728812;Decreased
Travel;Otu000242;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;-0.7998861;0.295135966;129;-2.710229159;0.007638515;0.042722393;1.369344427;Decreased
Travel;Otu000245;Cyanobacteria;Melainabacteria;Gastranaerophilales;unclassified;unclassified;-1.695689733;0.361307296;129;-4.693206456;6.77E-06;0.000250374;3.601410994;Decreased
Travel;Otu000269;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;-3.574622383;0.505968262;129;-7.064914246;8.96E-11;4.31E-08;7.365393253;Decreased
Travel;Otu000284;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;-0.867533737;0.284082116;129;-3.053813279;0.002745287;0.023755615;1.624233716;Decreased
Travel;Otu000288;Cyanobacteria;Melainabacteria;Gastranaerophilales;unclassified;unclassified;-0.97348839;0.331555538;129;-2.936124661;0.003936479;0.02796757;1.553345273;Decreased
Travel;Otu000289;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-1.805710234;0.306894698;129;-5.883810467;3.25E-08;2.61E-06;5.583811762;Decreased
Travel;Otu000294;unclassified;unclassified;unclassified;unclassified;unclassified;-1.594531334;0.325846425;129;-4.893505694;2.90E-06;0.000154979;3.809725888;Decreased
Travel;Otu000298;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-1.655024502;0.275358112;129;-6.010443964;1.77E-08;1.71E-06;5.768119832;Decreased
Travel;Otu000301;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;unclassified;-0.664062646;0.217623849;129;-3.05142405;0.002765727;0.023755615;1.624233716;Decreased
Travel;Otu000314;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;-1.128323478;0.323482955;129;-3.488046157;0.000666006;0.009707535;2.012891027;Decreased
Travel;Otu000357;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;-0.713935453;0.269734621;129;-2.646806889;0.009137742;0.048299491;1.316057446;Decreased
Travel;Otu000361;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassospira;-1.187154376;0.36092594;129;-3.28919106;0.001295405;0.014659816;1.833871482;Decreased
Travel;Otu000370;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;-0.904274288;0.316921249;129;-2.853309112;0.005041745;0.03224568;1.491528454;Decreased
Travel;Otu000373;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Allisonella;-0.679094593;0.223433436;129;-3.039359752;0.0028711;0.024035836;1.619140772;Decreased
Travel;Otu000410;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;-1.257075508;0.278339884;129;-4.516332654;1.40E-05;0.000355302;3.449402423;Decreased
Travel;Otu000422;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Howardella;-0.762943719;0.277462985;129;-2.74971351;0.006821606;0.039061815;1.408247576;Decreased
Travel;Otu000433;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;-1.222743817;0.373085051;129;-3.277386249;0.001346407;0.014718674;1.832131327;Decreased
Travel;Otu000475;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;-0.926062679;0.202039773;129;-4.583566222;1.07E-05;0.000304124;3.516948729;Decreased
Travel;Otu000476;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;-2.392032139;0.521219325;129;-4.589300559;1.04E-05;0.000304124;3.516948729;Decreased
Travel;Otu000492;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis;-1.929963731;0.42309325;129;-4.561556417;1.17E-05;0.000311758;3.506182441;Decreased
Travel;Otu000504;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;unclassified;-1.387858082;0.407405448;129;-3.406577135;0.000877619;0.01172597;1.930851222;Decreased
Travel;Otu000516;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-1.009111419;0.341717105;129;-2.953060891;0.003739872;0.027675051;1.557911564;Decreased
Travel;Otu000561;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;-2.337280199;0.549916014;129;-4.250249384;4.06E-05;0.000886004;3.0525644;Decreased
Travel;Otu000563;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-1.254578782;0.354450708;129;-3.539501408;0.000558167;0.008389951;2.076240577;Decreased
Travel;Otu000566;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;-1.65255224;0.47654599;129;-3.467770738;0.000713654;0.010096099;1.995846395;Decreased
Travel;Otu000567;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;unclassified;-0.839410417;0.289068728;129;-2.903843742;0.00433774;0.029386662;1.531849743;Decreased
Travel;Otu000574;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Incertae_Sedis;-2.225999107;0.503045782;129;-4.425042787;2.03E-05;0.000465118;3.332436454;Decreased
Travel;Otu000577;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;-0.979241938;0.33986062;129;-2.88130451;0.004639788;0.030571755;1.514679625;Decreased
Travel;Otu000591;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Papillibacter;-1.661133987;0.275542467;129;-6.028595167;1.62E-08;1.71E-06;5.768119832;Decreased
Travel;Otu000600;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-1.556479336;0.383197295;129;-4.061822351;8.40E-05;0.001496461;2.824934478;Decreased
Travel;Otu000608;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;unclassified;-2.139777596;0.45096989;129;-4.74483473;5.45E-06;0.000227652;3.642728812;Decreased
Travel;Otu000630;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-1.299377187;0.407989012;129;-3.184833782;0.001816199;0.017372414;1.760139827;Decreased
Travel;Otu000638;Firmicutes;Clostridia;Clostridiales;vadinBB60;unclassified;-1.235963325;0.378551473;129;-3.264980886;0.001402018;0.014764048;1.830794563;Decreased
Travel;Otu000667;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-0.932846659;0.307790739;129;-3.03078209;0.002948263;0.024035836;1.619140772;Decreased
Travel;Otu000681;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;-1.600303026;0.508841834;129;-3.144991075;0.002062043;0.018714016;1.727833008;Decreased
