Coefficient;OTU;Phylum;Class;Order;Family;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
Before;Otu000045;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;-4.532425398;0.757819913;126;-5.980873976;2.14E-08;4.10E-06;5.386727307;Decreased
M12;Otu000045;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;-1.758518727;0.610065202;126;-2.882509478;0.004639954;0.042011894;1.376627734;Decreased
Before;Otu000097;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;-1.679009424;0.384902555;126;-4.362167524;2.65E-05;0.000848605;3.07129461;Decreased
Before;Otu000113;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;-0.702020208;0.238082756;126;-2.948639453;0.003805201;0.039419477;1.40428914;Decreased
M6;Otu000113;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;-0.926150451;0.257022236;126;-3.603386477;0.000450657;0.007218713;2.141540234;Decreased
Before;Otu000181;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;-2.969051472;0.576120774;126;-5.153522673;9.60E-07;3.69E-05;4.433205224;Decreased
M12;Otu000181;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;-5.313020186;0.951393781;126;-5.584459653;1.38E-07;1.32E-05;4.879150704;Decreased
M3;Otu000181;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;-3.497775406;0.664490916;126;-5.263842317;5.89E-07;2.83E-05;4.548629245;Decreased
M6;Otu000181;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;-4.259825817;0.792149024;126;-5.377556098;3.54E-07;2.26E-05;4.645267086;Decreased
Before;Otu000223;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;-1.507620284;0.466516046;126;-3.231657939;0.001570639;0.020104181;1.696713609;Decreased
Before;Otu000385;Firmicutes;Clostridia;Clostridiales;Family_XI;-1.243424321;0.433230622;126;-2.870121036;0.004813863;0.042011894;1.376627734;Decreased
M12;Otu000006;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;1.185002865;0.292320082;126;4.053785339;8.76E-05;0.002403805;2.619100753;Increased
M6;Otu000054;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;1.070065386;0.343905162;126;3.11151301;0.00230299;0.027635874;1.558526795;Increased
M12;Otu000056;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;1.643972707;0.442466818;126;3.715471176;0.000303588;0.005828886;2.234414421;Increased
Before;Otu000069;Firmicutes;Clostridia;Clostridiales;unclassified;0.672918111;0.204659017;126;3.287996394;0.001307956;0.017937688;1.74623354;Increased
M6;Otu000069;Firmicutes;Clostridia;Clostridiales;unclassified;0.728632831;0.220431487;126;3.30548435;0.001235158;0.017937688;1.74623354;Increased
M6;Otu000133;unclassified;unclassified;unclassified;unclassified;0.767597509;0.202581949;126;3.789071594;0.000233158;0.004974036;2.303291064;Increased
M3;Otu000155;Tenericutes;Mollicutes;RF9;unclassified;0.896847689;0.312273245;126;2.87199657;0.004787156;0.042011894;1.376627734;Increased
M3;Otu000173;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;0.987916087;0.335978169;126;2.940417498;0.003900886;0.039419477;1.40428914;Increased
M6;Otu000182;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;1.561702353;0.403560379;126;3.869810895;0.000173827;0.004171859;2.379670373;Increased
M6;Otu000364;Firmicutes;Clostridia;unclassified;unclassified;0.640738164;0.216835191;126;2.954954693;0.003733177;0.039419477;1.40428914;Increased
M3;Otu000500;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;1.308235774;0.36309015;126;3.603060495;0.00045117;0.007218713;2.141540234;Increased
